business_id,business_name,city,state,business_avg_stars,categories
XSuO2E30ArnrjH9jquaK5Q,CALI - Tampa Palms,Tampa,FL,4.0,"Gluten-Free, American (New), Mexican, Pizza, Breakfast & Brunch, Restaurants, Specialty Food, Vegetarian, Juice Bars & Smoothies, Food"
QHWYlmVbLC3K6eglWoHVvA,Datz,Tampa,FL,4.0,"Burgers, Bars, Restaurants, American (Traditional), Vegan, Asian Fusion, Cocktail Bars, Breakfast & Brunch, Soul Food, Sandwiches, American (New), Gastropubs, Comfort Food, Nightlife, Wine Bars, Delis"
Vpv7_M6dpg92GwappohXlw,Rome + Fig,Tampa,FL,4.5,"Seafood, Restaurants, Chicken Wings, Breakfast & Brunch, Diners, American (New)"
hExi86DTBlmIhB2FLvqrHg,On Swann,Tampa,FL,4.5,"Desserts, Restaurants, Bars, Nightlife, American (New), Food"
6LAp-gSP9Kk4ZvxijXaxIw,Sushi Cafe,Tampa,FL,4.5,"Sushi Bars, Japanese, Restaurants"
JpAjXYIqFQJyibItoZ_hOg,Oak and Ola,Tampa,FL,4.5,"Nightlife, Modern European, Cocktail Bars, Bars, Restaurants, American (New)"
vXQLdqB-stL2JTP5AsPVaA,Samurai Blue Sushi & Sake Bar,Tampa,FL,4.0,"Restaurants, Japanese, Soup, Sushi Bars"
L5LLN0RafiV1Z9cddzvuCw,Ulele,Tampa,FL,4.0,"Breweries, Food, American (New), Beer, Wine & Spirits, Restaurants, Seafood"
9JrZDH4Mq0BXQ2GYIJmo-g,OLIVIA,Tampa,FL,4.5,"Desserts, Bars, Food, Nightlife, Italian, Restaurants"
4gszBjoouIzfi1ltSQZ2BQ,Tampa Bay Brewing Company,Tampa,FL,4.0,"Restaurants, Food, Breweries, American (Traditional), Pets, Brasseries"
fF0aVsxyI51ZfCZoN-F5GQ,Soho Sushi,Tampa,FL,4.0,"Sushi Bars, Japanese, Restaurants, Food"
3R-DJGoG2IPzr_SiPMtmeA,The Mill,Tampa,FL,4.0,"Nightlife, American (New), Restaurants, Bars, Lounges, Tapas/Small Plates, Tapas Bars, Breakfast & Brunch, Gastropubs"
zFcE7bQ2oDfwpPgl_PxOTA,Oystercatchers,Tampa,FL,4.0,"Cocktail Bars, Restaurants, American (Traditional), Bars, Seafood, Nightlife"
R_Wi9jh57H_OzzAVWO71Bw,Psomi,Tampa,FL,4.5,"Mediterranean, Breakfast & Brunch, Bagels, Restaurants, Food, Bakeries, Greek"
wIz_tZ88bj4W3VlrJTiiqQ,edison: food+drink lab,Tampa,FL,4.0,"American (New), Restaurants, Wine Bars, Beer Bar, Bars, Nightlife"
lM7XL1ZWh2GQOlT9HJoZaw,Ichiban Japanese Restaurant & Sushi Bar,Saint Petersburg,FL,4.0,"Sushi Bars, Japanese, Restaurants, Thai"
